areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
Kew Gardens,Queens,neighborhood,1500,1425,1463,1438,1425,1350,1438,1450,,1399,,,,1725,1500,1412,1300,1375,,1450,1450,1450,1468,,1485,1525,1500,1438,1750,2100,2250,2877,2995,3046,2225,2150,1650,1673,1648,1575,1750,1900,1900,1850,2000,1800,1733,1800,1850,1750,1550,1550,1650,1650,1650,1950,1755,1700,1650,1695,1725,1725,1750,1850,1850,1750,1850,1950,1913,1950,1895,2000,2000,1800,1800,1900,1950,1950,2000,2000,1825,1863,1900,2000,1975,1900,1973,2000,1850,1848,1838,1950,1875,1925,2000,2000,2000,1850,1950,1895,1838,2000,1895,1875,1800,1860,1850,1997,1850
Kew Gardens Hills,Queens,neighborhood,,,,,,,,,1798,,,,,,,,,,,,,,,,,,1363,1450,1573,1573,,,,,,1623,,,,1695,1695,,,,,1875,1700,1750,2150,2075,2075,1800,1800,1800,1725,2075,1775,2099,2099,1750,1750,1725,1550,1738,1875,1744,1950,1775,1775,1950,1950,1913,1925,1875,1950,1955,1788,1900,1950,2050,2045,2013,2000,2007,1975,1975,1975,1950,1925,1875,1811,1975,1975,1975,1975,1850,1900,1875,1895,2000,2000,2000,1899,1875,2000,2000,1983,1853,1890
Kingsbridge,Bronx,neighborhood,1184,1193,1300,1300,1200,1200,,,,,,,,,,,,,,,,,,,,2150,2165,2225,2350,,,1750,1750,1525,1388,1300,1325,1295,1295,1250,1150,1150,1248,1555,1610,1610,1500,1450,1450,1200,1350,1500,1550,1630,1548,1450,1348,1350,1400,1500,1450,1500,1475,1400,1475,1450,1475,1625,1625,1500,1575,1600,1550,1500,1600,1675,1695,1700,1800,2017,1850,1900,2000,2000,1925,1600,1750,1697,1919,1625,1625,1700,1625,1750,1750,1725,1550,1625,1775,2000,1950,1863,1750,1775,1813,1750,1750,1723,1695
Laconia,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurelton,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Italy,Manhattan,neighborhood,3295,3050,3000,2999,2885,2600,3700,3795,5200,4750,4800,4750,4725,4450,4725,3200,3300,3075,3700,3995,4175,3500,2950,2950,3500,3450,3548,3450,2875,2599,2499,2500,2800,2575,3700,4125,4000,3950,3500,4650,3650,3300,3400,3198,3125,3100,3175,3225,3250,3498,3500,3148,2875,3250,3425,3775,3250,2900,2950,2700,2950,2875,3000,3000,3225,3050,3200,3695,3695,3225,3598,3700,3600,3250,2800,2875,3295,3295,3500,3500,3325,3100,3150,3200,3150,3150,3175,3000,2799,2950,2900,3058,3060,2698,2800,2625,2600,2600,3250,3500,3087,2990,3000,2773,2700,3150,3173,3075,3250
Little Neck,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2550,,,,,,,,,,,,,,,,,,
Long Island City,Queens,neighborhood,2325,2500,2525,2600,2700,2725,2678,2680,2758,2735,2700,2715,2668,2650,2750,2775,2850,2875,2940,2905,3000,2900,2900,2788,2800,2930,2915,2938,2850,2885,2885,2875,2900,2900,2903,2860,2798,2838,2850,2995,2995,2995,2950,2900,2825,2778,2998,3063,3024,2939,2800,2800,2783,2730,2673,2750,2895,2995,2995,2995,3000,3025,2950,2966,2950,3100,3100,2995,2995,2900,2908,3000,2995,3000,3110,3100,3150,3168,3150,3100,3060,2984,2960,2995,3028,3005,2980,2996,2952,3000,3055,3100,3000,2900,2829,2840,2828,2895,2949,2900,3025,3101,3111,3115,3201,3092,3086,3094,3066
Longwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1575,,1563,,,,,,,,,,,,,1650,1550,,2088,,,2028
Lower East Side,Manhattan,neighborhood,2295,2250,2295,2250,2495,2400,2400,2500,2598,2500,2500,2600,2500,2500,2400,2395,2395,2400,2495,2595,2700,2700,2695,2300,2450,2650,2800,2995,2795,2750,2695,2700,2800,2750,2850,2998,2873,2993,2899,2895,2845,2825,2795,2795,2900,2850,2795,2800,2846,2750,2798,2795,2798,2950,2950,3000,3000,2995,2995,3000,3000,2995,2848,2895,2995,3100,3150,3197,3250,3000,3000,3000,3000,3000,2995,3100,3200,3325,3297,3300,3295,3100,3098,2900,2895,3100,3000,3000,3200,3156,3200,3197,3099,3000,2995,2950,2995,2950,3030,3200,3250,3200,3250,3300,3300,3300,3300,3275,3275
Manhattan,Manhattan,borough,2800,2795,2728,2800,2800,2825,2885,2895,2995,3000,2995,2950,2950,2995,2950,3000,3000,3100,3100,3175,3250,3265,3250,3200,3180,3100,3100,3195,3200,3200,3200,3200,3250,3200,3250,3250,3200,3200,3200,3200,3200,3175,3195,3225,3269,3250,3250,3245,3200,3200,3200,3271,3295,3250,3200,3200,3200,3200,3200,3200,3200,3250,3250,3295,3325,3350,3350,3395,3400,3350,3295,3300,3300,3300,3350,3391,3400,3395,3370,3300,3345,3300,3300,3254,3230,3257,3250,3300,3300,3300,3300,3300,3300,3276,3200,3201,3204,3205,3200,3250,3300,3300,3300,3300,3300,3277,3280,3300,3300
Manhattan Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,3700,,,,,4100,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,
Manhattanville,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2400,,,,,,2100,2048,,,,,,,,,,,,,,,,,,,,1995,,,2230,2045,2045,2800,2799,2795,2795,2795,2375,2225,2200,2150
Marble Hill,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,2200,2235,2200,,,,,2200,,2320,,,2240,2220,2013,1920,2100,2220,2425
Marine Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1800,1600,1525,1700,1825,,,1750,,,2150,,2000,1800,,1868,2200,,,2050,1875,1850,,,1750,1750,1950,2000,,,2096,2271,2300,2300,,,,,,1699,,2250,2700,2600,1700
Maspeth,Queens,neighborhood,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,1625,,,,1550,,1550,1550,1575,,,,,,,,,,1850,1650,1675,,1700,1850,1725,1625,1900,1800,2150,1800,2400,2400,2400,2000,1950,1900,2000,1950,1900,1800,1800,1875,1850,1850,1800,2100,2000,2100,2200,2175,2100,2000,2100,2100,2000,2025,2100,2125,2100,2150,2187,2200,2200,2095,2000,2000,2100,2000,2150,2125,2000,2200,2075,2200,2095,2050,2025,2075,2150
Melrose,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,1237,1243,1243,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713,1925,1982,2000,2025,,1880,1817,,,,,,1900,1663,,1842,1775,1675,,,1840
Middle Village,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,1798,,,1800,1800,1775,1775,,1875,1900,2075,2150,2000,2000,2000,2000,2000,2100,1880,1800,1850,1800,1999,1999,1999,2000,2000,2000,2000,2025,2100,2100,2250,1900,1875,2000,1973,1950,2000,1999,1875,1723,,2200,2000,2075,2085,2199,2050,2100,2200,2200,2050,2000,2100
Midtown,Manhattan,neighborhood,3800,3900,3950,4160,4000,4000,3995,3995,4000,3900,4100,4000,4195,4250,4000,4250,4100,4000,4225,4375,4200,4450,4500,4350,4450,4300,4195,4250,4495,4200,4125,4095,4273,4200,4000,4000,3995,4250,4150,4000,3995,4000,3850,3900,3900,4000,3950,3800,3838,3800,3957,3900,3850,3900,3850,3850,3895,4000,4000,4000,4200,4000,4000,4000,4225,4124,4147,3985,3975,4000,4000,4025,4095,4350,4005,4000,4095,4100,4021,3970,3983,3900,3900,3960,3995,4000,3999,4000,4200,4200,4198,3802,4000,3900,3886,3900,3895,3950,3900,3800,3800,3900,3895,3900,3946,3995,4000,3898,3956
Midtown East,Manhattan,neighborhood,2695,2625,2650,2700,2700,2700,2800,2800,2800,2800,2900,2895,2900,2985,2950,3000,3050,3200,3200,3170,3200,3200,3200,3150,3100,3050,3050,3095,3100,3100,3100,3150,3195,3150,3150,3150,3150,3200,3195,3195,3195,3195,3195,3200,3200,3200,3200,3215,3195,3200,3200,3250,3240,3250,3200,3243,3200,3200,3295,3226,3295,3300,3300,3350,3400,3400,3400,3400,3450,3350,3332,3350,3300,3369,3350,3400,3400,3395,3400,3400,3400,3395,3329,3307,3298,3350,3330,3395,3395,3400,3380,3325,3300,3314,3195,3200,3250,3276,3295,3350,3400,3400,3450,3400,3395,3400,3400,3450,3400
Midtown South,Manhattan,neighborhood,3198,3200,3250,3340,3400,3375,3400,3380,3385,3325,3425,3400,3450,3300,3400,3525,3450,3495,3500,3500,3398,3300,3475,3300,3475,3300,3300,3450,4050,3895,3770,3700,3625,3675,3600,3498,3500,3450,3450,3450,3600,3500,3550,3525,3500,3550,3595,3500,3400,3500,3450,3495,3645,3650,3525,3650,3625,3550,3650,3800,3695,3600,3695,3695,3700,3775,3785,3950,3950,3895,3895,3950,3944,3950,3895,3895,3924,3930,3965,3924,3992,3995,3965,3950,3895,3950,3965,3964,3922,3875,3950,3969,3965,3950,3687,3600,3554,3600,3598,3650,3684,3950,3850,4045,3988,3967,3862,3885,3895
Midtown West,Manhattan,neighborhood,2600,2650,2650,2650,2790,2800,3000,2895,2953,3000,3000,2995,2950,2983,3055,3100,3150,3100,3195,3200,3270,3260,3255,3298,3200,3150,3290,3300,3300,3250,3300,3350,3390,3350,3450,3475,3397,3400,3390,3350,3290,3300,3275,3300,3346,3395,3350,3350,3350,3350,3425,3320,3450,3450,3400,3330,3300,3400,3433,3450,3450,3500,3495,3495,3500,3500,3485,3490,3493,3400,3350,3300,3277,3310,3395,3450,3453,3400,3400,3400,3450,3400,3369,3331,3300,3323,3215,3342,3400,3421,3451,3495,3450,3400,3300,3300,3299,3300,3300,3390,3450,3495,3465,3470,3500,3500,3490,3519,3483
Midwood,Brooklyn,neighborhood,,,1898,1898,,,,,,,,,,1600,1423,1500,1500,1500,1500,1500,1495,1500,1500,1450,1450,1400,1300,1400,1500,1500,1450,1350,1300,1300,1500,1423,1423,1275,1250,1300,1550,1350,1325,1315,1308,1325,1363,1350,1350,1350,1350,1400,1595,1563,1600,1638,1550,1500,1473,1450,1500,1550,1525,1550,1600,1750,1750,1800,1775,1750,1750,1800,1700,1800,1850,1850,1897,1925,1850,1800,1850,1700,1750,1773,1800,1750,1825,1800,1799,1800,1825,1735,1850,1781,1825,1750,1795,1745,1725,1750,1750,1749,1800,1800,1863,1800,1799,1784,1850
Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,,,,,
Morningside Heights,Manhattan,neighborhood,2200,2150,2100,2000,2050,2178,2178,1995,1995,2350,2423,2396,2396,2373,2373,2500,2500,2385,2850,2875,2995,2500,2625,2650,2813,2675,2550,2795,2950,2950,2995,2795,2973,2775,2725,2700,2575,2650,2697,2795,2825,2800,2850,2888,3000,3075,2993,2993,3280,3140,3225,3275,3365,3265,3350,3382,3295,3195,3270,3333,3000,3260,3255,3288,3390,3500,3500,3460,3370,3390,3000,3010,2950,3192,3254,3300,3254,3300,3360,3300,3300,3315,3295,3208,3284,3197,3190,3240,3214,3100,3200,3215,3000,2875,2887,2979,2900,2979,2995,2997,3150,3195,3200,3225,3125,3010,2975,2917,2985
Morris Heights,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1250,1250,1250,1295,1295,1295,1295,1295,1295,1295,,1914,1450,1595,,,1700,1600,1545,1545,2000,,,1525,1495,1525,1600,1600,1600,1600,1798,1495,1495,1650,1600,1700,1675,1675,1675,,,,,,,,1750,1800,1800,1595,1602,1698,1695
Morris Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1350,1387,1399,1472,1400,1400,1400,1400,1400,1400,1400,1400,1450,1400,1492,1484,1450,1450,1500,1500,1450,1450,1450,1450,1450,1450,1500,1500,1500,1500,1550,1500,1500,1500,1550,1575,1600,1600,1700,1625,1600,1695,1600,1600,1600,1800,1825,1900,1899,1850,1850,1824,1838,1800,1850,1650,1675,1775
Morrisania,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123,1123,,,,,,,,,,,,,,,,1850,1700,,,,,,,,,,,,,,,1825,,,,,,,1775,1623,2200,1700,2000,1700
Mott Haven,Bronx,neighborhood,,,,,1600,,,,,,,1500,1500,,,926,763,926,,,,,,,,,,,,,,,,,,,,,,1500,1500,1900,1900,1800,,,,,1800,1800,1850,,1575,1599,1600,1600,1625,1500,1525,1665,1699,1700,1700,1750,1750,1700,1725,1750,1875,2000,2150,2100,2100,2050,2150,1850,1800,1913,1948,1900,1900,1900,2350,2367,2200,1988,2118,1950,1950,1950,1950,1950,1860,1925,2155,2155,2155,2200,2200,2238,2250,2280,2300,2250,2125,2000,2000,1950,2050
NYC,,city,2650,2600,2600,2650,2695,2700,2750,2750,2830,2850,2800,2750,2750,2750,2750,2800,2800,2900,2900,2975,3000,3000,3000,2995,2975,2945,2950,2995,2995,2995,2995,3000,3050,3000,3000,3000,2995,3000,3000,3000,2995,2995,2995,3000,3000,2995,2950,2940,2900,2900,2900,2950,2950,2924,2892,2895,2850,2825,2800,2800,2800,2800,2800,2850,2850,2899,2900,2950,2900,2895,2833,2850,2865,2895,2900,2933,2954,2980,2975,2950,2900,2875,2800,2800,2750,2750,2700,2750,2775,2795,2800,2862,2800,2795,2700,2700,2695,2665,2699,2750,2795,2800,2825,2800,2794,2700,2660,2665,2699
New Hyde Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolita,Manhattan,neighborhood,3248,2825,3195,3273,3325,3350,2900,3395,3348,3500,3100,2995,3300,3300,2825,3200,3395,3200,3495,3495,3685,3548,3995,3598,3595,3495,3495,3495,3495,3495,3495,3495,3395,3395,3395,3225,3395,3100,3225,3300,3495,3795,3600,3495,3495,2500,3395,3400,3300,3225,3300,3398,3400,3400,3495,3495,3495,3420,3500,3495,3595,3450,3495,3595,3500,3595,3595,3595,3550,3500,3500,3550,3595,3560,3595,3973,3795,3750,3695,3695,3850,3800,3875,3800,3600,3995,3600,3748,3679,3723,3795,3795,3625,3495,3498,3500,3500,3495,3500,3595,3645,3695,3895,3700,3595,3620,3695,3498,3363
North Brooklyn,Brooklyn,submarket,2500,2475,2484,2500,2550,2625,2700,2800,2850,2900,2750,2700,2600,2650,2700,2850,2850,2900,2900,2857,2850,2900,2975,2850,3000,2995,2950,3000,3000,3150,3100,3000,3300,3300,3277,3372,3200,3200,3150,3000,3000,3200,3200,3150,3100,3050,3033,2950,3000,3000,3000,3150,3195,3200,3200,3200,3115,3047,3000,3000,3000,3000,3000,3050,3000,3150,3250,3200,3125,3115,3126,3195,3195,3080,3025,3000,3100,3100,3100,3100,3095,3079,3000,2999,2999,2985,3000,3000,3000,3099,3095,3000,3000,2977,2875,2800,2800,2875,2900,2953,2999,3000,3000,3000,2999,2995,2899,2861,2951
North Corona,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1850,,,,,,,1748,1550,1595,,,1595,1595,,,1995,1850,,1613,1675,,,,,,,,,,,,,,1775,1725,2250,1763,,,1695,1550,,1575,1610,1700,1725,1633,1950,1950,1700,1698,,,1645,1550
Northeast Queens,Queens,submarket,1650,1600,1625,1450,1400,1350,1400,1550,1550,1600,1473,1495,1495,1500,1500,1500,1600,1700,1725,1775,1650,1500,1600,1575,1575,1525,1626,1663,1700,1700,1750,1850,1825,1850,1725,1700,1650,1673,1700,1700,1700,1700,1798,1850,1900,1790,1725,1800,1800,1750,1700,1750,1725,1775,1765,1950,1873,1850,1895,1800,1800,1800,1800,1850,1850,1850,1890,1900,1895,1950,1885,1898,1900,1925,1955,2000,1998,1950,1950,1895,1950,2000,1950,2000,1975,1975,1950,2000,1950,2000,2100,2000,1925,1975,1995,1900,1975,1899,1899,1950,1963,2000,1995,1950,1995,1928,1950,2000,1950
Northwest Brooklyn,Brooklyn,submarket,2300,2300,2290,2300,2400,2400,2475,2500,2600,2600,2489,2400,2495,2500,2500,2500,2500,2580,2600,2718,2800,2800,2700,2700,2800,2795,2800,2800,2800,2800,2863,3000,3000,3000,3000,3000,2850,2900,2950,3000,2997,3000,3000,3075,3000,2966,2900,2900,2950,2950,2950,2950,2950,2950,2950,3000,2900,2988,3000,2900,2900,2950,3000,3000,3000,3000,3000,3020,3100,3000,3000,2995,3000,3000,3030,3050,3100,3092,3060,3048,3000,3000,2970,2925,2950,2993,2950,2995,2999,3000,3000,3000,2995,2998,2913,2979,2995,2950,3000,3000,3163,3197,3200,3199,3100,3025,3100,3128,3100
Northwest Queens,Queens,submarket,1800,1817,1944,1950,1950,2000,2000,2030,2200,2313,2198,2100,1900,2000,1900,1900,1985,2200,2150,2200,2500,2200,2600,2250,2200,2810,2785,2760,2745,2720,2765,2758,2670,2585,2400,2370,2300,2250,2200,2300,2300,2300,2375,2500,2550,2400,2500,2400,2320,2250,2200,2500,2400,2495,2395,2395,2350,2350,2300,2275,2300,2295,2300,2400,2400,2400,2400,2475,2400,2350,2395,2400,2350,2400,2400,2450,2500,2500,2500,2550,2500,2400,2395,2350,2300,2300,2300,2300,2300,2350,2350,2418,2400,2326,2350,2300,2250,2246,2250,2295,2300,2300,2327,2400,2400,2300,2300,2295,2300
Norwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,,,,,1250,1225,1200,,,1200,1200,,,,1300,1300,1300,1348,1400,1325,1298,1400,1450,1400,1400,1473,1400,1400,1450,1425,1400,1352,1350,1350,1425,1498,1425,1400,1425,1400,1498,1500,1500,1463,1495,1500,1475,1495,1485,1475,1500,1550,1550,1675,1695,1500,1683,1595,1499,1475,1475,1900,1750,1550,1550,1550,1675,1795,1675
Oakland Gardens,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,2000,1925,1875,1975,2100,2025,1950,1950,2000,1950,1850,1850,,,,1850,1800,1800,2150,1950,1750,2050,2125,2100,1725,1700,1725,1725,2075,2150,1763,2100,1763,,1700,1650,1650,,,,,,,,,,,1775,2200,2000
Ocean Parkway,Brooklyn,neighborhood,,,,,,,,,,,,,,1288,1349,1325,,1475,1550,1374,1400,1550,1475,1300,1400,1300,1300,1375,1375,1375,1375,1400,,,,1350,1350,1400,1375,1600,1573,1625,1575,1588,1700,1545,1425,,,1395,1700,1700,1550,1650,1563,1495,1438,1600,1625,1498,1488,1475,1750,1560,1550,1600,1500,1538,1600,1595,1550,1550,1593,1650,1585,1650,1725,1725,1875,1875,1750,1875,1900,1938,1800,1950,2055,2158,1950,2000,1750,1888,1850,1850,1698,1675,1680,1800,1738,1750,1747,1850,1725,1895,1997,1950,1950,1995,1950
Old Mill Basin,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozone Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1580,1650,1550,1475,1500,,,
Park Slope,Brooklyn,neighborhood,2200,2150,2200,2200,2450,2485,2400,2400,2600,2500,2350,2395,2495,2500,2500,2500,2573,2700,2600,2700,2800,2800,2800,2708,2600,2550,2700,2725,2700,2850,2700,2750,2850,2850,2900,2800,2650,2600,2595,2650,2800,2800,2750,2800,2750,2698,2607,2607,2600,2675,2695,2750,2800,2850,2800,2800,2800,2850,2800,2800,2829,2887,2900,2875,2900,2950,2995,2850,2800,2800,2800,2800,2850,2800,2800,2850,2895,2900,2900,2900,2900,2800,2800,2800,2795,2750,2700,2700,2800,2800,2800,2800,2900,2800,2800,2800,2800,2750,2700,2833,2880,2884,2900,2950,2950,2995,2950,2900,2850
Parkchester,Bronx,neighborhood,,,,,,,,,,,,,,1300,,1200,1100,1163,,,,,,,,,,,,,,,,,,,,,,1300,,1238,,,1425,1175,1100,,,,,,,,1240,1240,1235,1255,1262,1244,1300,1415,1414,1225,1250,1238,1225,1295,1297,1297,1250,1400,1620,1345,,,,,1500,1840,1610,1582,1558,1550,1550,1680,1625,1846,1680,1605,1600,1598,1608,1450,1395,1395,1425,1425,1435,,1450,1450,1495,1513,1500,1507,1513,1483,1514
Pelham Bay,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1322,1300,,1300,2125,,,,,1500,,1425,,,,1500,,,,1500,1500,1500,1413,1375,,,1448,1500,1563,1625,1700,1625,1625,1500,1550,,,1800,1695,,1550,1800,1750,1700,2000,1950,
Pelham Gardens,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,1899,1862,,,,,,,1700,,,,,,,,,,1750,,,1800,,,,,,,,,1875,,,,,
Pelham Parkway,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomonok,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,,,,,,,,,,,,,,,2200,2200,,,,,,,,,,,,,,,,,,
Port Morris,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect Heights,Brooklyn,neighborhood,2150,2150,2000,2000,2000,2300,2300,2100,2050,2500,2250,1925,2300,2500,2398,2525,2623,2498,2550,2700,2700,2525,2500,2450,2200,2250,2398,2500,2400,2550,2500,2650,2450,2500,2300,2275,2400,2725,2625,2725,2500,2500,2625,2999,2900,2800,2600,2600,2500,2700,2450,2725,2800,2800,3000,2800,2800,2691,2695,2600,2750,2720,2720,2750,2900,2900,2900,2995,2796,2750,2800,2798,2750,2775,2895,2850,2850,2850,2800,2850,2975,2975,2700,2650,2700,2800,2800,2850,2957,2954,2950,2900,2900,2825,2800,2800,2800,3000,2975,2850,2998,3042,3150,2979,2880,2850,2750,2900,2939
Prospect Lefferts Gardens,Brooklyn,neighborhood,1795,,,1700,1725,1200,,,1413,,1300,1250,1400,1400,1400,1325,1500,1250,1250,1450,1488,1488,1500,1625,1600,1698,1800,1800,2000,1800,1673,1695,1650,1650,1673,1650,1488,1500,1800,1950,2250,2400,2200,2200,1925,1850,1800,1700,1725,1725,1800,1900,1800,1800,1950,1975,2000,1797,1799,1800,1750,1750,1798,1800,1800,1700,1700,1750,1750,1900,1888,1800,1900,1950,1963,2000,2000,2000,2100,2168,2200,2200,2150,2154,2137,2200,2200,2195,2095,2175,2200,2099,2112,2099,2000,2150,2010,2200,2249,2350,2400,2400,2450,2300,2300,2250,2250,2299,2250
Prospect Park,Brooklyn,submarket,2100,2100,2100,2185,2200,2300,2350,2300,2400,2400,2200,2200,2299,2350,2400,2425,2500,2500,2550,2550,2700,2613,2600,2500,2450,2400,2500,2595,2600,2700,2595,2500,2600,2600,2600,2500,2500,2500,2500,2500,2583,2700,2650,2700,2700,2600,2595,2500,2500,2500,2500,2513,2650,2700,2700,2650,2700,2600,2600,2600,2650,2600,2600,2650,2700,2700,2750,2700,2600,2600,2610,2600,2600,2595,2650,2700,2700,2683,2600,2600,2647,2650,2600,2600,2534,2550,2566,2600,2650,2700,2700,2700,2650,2600,2500,2499,2499,2500,2500,2550,2650,2700,2749,2700,2695,2600,2600,2600,2597
